模型,参数组,主题编号,主题名称,专利数量,专利占比,TOP5主题词,主题关键词,代表专利
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",11,电机 / 齿轮 / 转轴,675,0.0683,电机、齿轮、转轴、输出、壳体,电机、齿轮、转轴、输出、壳体、啮合、食品、原料、转动轴、转动连接,一种玻璃胶生产用高速分散装置；一种结构稳定的和面机；一种机器人换电装置
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",12,机架 / 效率 / 生产线,813,0.0823,机架、效率、生产线、自动化、送料,机架、效率、生产线、自动化、送料、输送装置、位于、气缸、传送、方向,一种膜纸自动化印刷技术生产线结构；一种制动主缸皮碗的自动装配装置；一种自动翻转脱模装置
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",13,机器人 / 视觉 / 控制系统,373,0.0377,机器人、视觉、智能制造、运动、控制系统,机器人、视觉、智能制造、运动、控制系统、关节、基于智能、涉及智能、路径、抓取,一种基于智能仿真的牵引站运维管理系统；一种棉花打顶无人机的智能控制系统及方法；一种智能制造木料处理平台
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",14,原料 / 食品 / 工艺,736,0.0745,原料、食品、工艺、及其应用、蛋白质,原料、食品、工艺、及其应用、蛋白质、组合、活性、合成、干细胞、采用,一种促进围绝经期女性补钙的中药组方；一种防止土地盐碱化的肥料及其制备方法；一种抑制烘焙食品多元危害物生成的方法
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",15,底座 / 上端 / 支撑杆,449,0.0454,底座、上端、支撑杆、上方、立柱,底座、上端、支撑杆、上方、立柱、治具、夹具、高度、快速、中心,一种废水循环利用的自动洗车装置；一种脐带血干细胞储存系统及其储存方法；极片烘烤夹具
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",16,电池 / 壳体 / 模组,225,0.0228,电池、壳体、模组、正极、锂离子,电池、壳体、模组、正极、锂离子、电芯、负极、材料、散热、新能源,域控制电池管理系统；微米级多孔硫酸亚铁钠/碳复合正极材料及其制备的钠离子电池或钠电池；光伏电池生产线的自动送料放料系统
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",17,数据 / 管理系统 / 用户,594,0.0601,数据、实时、管理系统、采集模块、用户,数据、实时、管理系统、采集模块、用户、互联网、服务器、企业、预警、管理平台,带私有协议的数据处理取证的方法及装置；一种基于无人机信息终端的可视化数字孪生高端装备系统；一种用于研究者发起的临床研究全数据平台综合评价系统
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",18,打印机 / 材料 / 模具,241,0.0244,打印机、材料、制造、模具、粉末,打印机、材料、制造、模具、粉末、喷头、树脂、光固化、尺寸、金属,一种刮刀防撞机构；一种3D导航定位牙套及制作方法；一种远程数字3D打印装置
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",19,支架 / 作业 / 立柱,788,0.0797,支架、作业、立柱、水平、液压,支架、作业、立柱、水平、液压、操作平台、框架、施工平台、底板、方向,一种用于生产带孔木底托的工装模具；一种用于施工现场的便携式施工平台；一种滤清器冲压片上料定位装置
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",0,底板 / 侧板 / 顶板,9,0.0009,底板、侧板、顶板、上端、支撑杆,底板、侧板、顶板、上端、支撑杆、电动、上方、转动连接、转轴、四个,移动平台训练机；金属缠绕垫片生产用缠绕机；一种连接件及支撑平台
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",1,数据 / 管理系统 / 用户,555,0.0562,数据、实时、管理系统、用户、采集模块,数据、实时、管理系统、用户、采集模块、服务器、互联网、预警、智慧、企业,带私有协议的数据处理取证的方法及装置；一种基于无人机信息终端的可视化数字孪生高端装备系统；一种用于研究者发起的临床研究全数据平台综合评价系统
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",2,光伏 / 太阳能 / 电站,266,0.0269,光伏、太阳能、电站、发电系统、边框,光伏、太阳能、电站、发电系统、边框、逆变器、蓄电池、屋面、电池板、电能,一种胶膜平整机构及光伏组件生产线；水面光伏发电系统电气性能及环境场的监测装置；一种与防水混凝土屋面一体化浇筑的光伏太阳能装置
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",3,原料 / 食品 / 蛋白质,532,0.0538,原料、食品、及其应用、蛋白质、工艺,原料、食品、及其应用、蛋白质、工艺、组合、活性、干细胞、生物、合成,一种促进围绝经期女性补钙的中药组方；一种防止土地盐碱化的肥料及其制备方法；一种抑制烘焙食品多元危害物生成的方法
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",4,汽车 / 新能源 / 动力电池,317,0.0321,汽车、新能源、动力电池、所述充电、散热,汽车、新能源、动力电池、所述充电、散热、零部件、线束、行驶、总成、电机,一种可用于新能源汽车的润滑脂组合物及其制备方法；一种适用于严寒酷暑环境的新能源厢式移动应急充电车；一种新能源汽车的热交换模块
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",5,存储介质 / 目标 / 电子设备,452,0.0457,存储介质、目标、电子设备、信息、用户,存储介质、目标、电子设备、信息、用户、申请、预设、人工智能、计算机设备、实施,一种云会员信息管理系统、方法和存储平台；一种图书荐购方法、装置、设备及存储介质；5G专网投诉的识别方法、装置、设备、系统及存储介质
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",6,模型 / 算法 / 参数,262,0.0265,模型、算法、学习、构建、参数,模型、算法、学习、构建、参数、样本、人工智能、建立、神经网络、特征,基于人工智能的流体输送系统精确计量方法及计量装置；异构可信计算/可信奖惩模型扩展；模型训练方法、数据处理方法、装置、电子设备及介质
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",7,环保 / 太阳能 / 建筑,230,0.0233,节能、环保、太阳能、建筑、蒸汽,节能、环保、太阳能、建筑、蒸汽、热量、效果、空气、温度、功能,一种具有节能保温功能的电解铝用电解槽；一种传热性能好的夹套盘管式上升管过热蒸汽发生器；一种抗干扰性强的具备信息安全的数据信号收集塔
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",8,储能 / 电路 / 电源,307,0.0311,储能、电路、电源、电压、开关,储能、电路、电源、电压、开关、功率、直流、供电、电网、输出,电子厂房电源保障系统实施方法；绝缘子R销复位装置；电力电子变压器的两级直流母线协调控制方法、装置
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",9,传感器 / 信号,369,0.0373,检测装置、传感器、检测设备、检测平台、检测系统,检测装置、传感器、检测设备、检测平台、检测系统、所述检测、进行检测、检测结果、检测技术、信号,一种胶带生产用胶带粘度测试装置；一种带自发电的输液管气泡检测装置；一种多功能食品检测装置
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",10,限位 / 弹簧 / 壳体,195,0.0197,限位、弹簧、壳体、活动连接、有限,限位、弹簧、壳体、活动连接、有限、外壳、保护、所述活动、弹性、另一端,一种锂电池排气安全阀；一种预灌封注射器生产车间用降尘设备；一种光伏产业用螺栓紧固件
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",11,电机 / 齿轮 / 转轴,451,0.0456,电机、齿轮、转轴、输出、啮合,电机、齿轮、转轴、输出、啮合、原料、转动轴、搅拌装置、所述搅拌、轴承,一种玻璃胶生产用高速分散装置；一种结构稳定的和面机；一种5G智慧城市用LED路灯
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",12,机架 / 生产线 / 自动化,366,0.037,机架、生产线、自动化、送料、输送装置,机架、生产线、自动化、送料、输送装置、效率、物料、传送、上料、气缸,一种自动翻转脱模装置；一种用于吸塑机的自动捡片装置；一种陶瓷材料加工用热压烧结装置
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",13,区块 / 节点 / 交易,250,0.0253,区块、节点、交易、信息、加密,区块、节点、交易、信息、加密、合约、网络、验证、共识、认证,基于区块链的充电权分配方法以及充电权交易方法；一种基于车路协同的区块链拜占庭容错方法及系统；基于区块链技术的大数据共享并存证的方法
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",14,石墨 / 材料 / 纳米,313,0.0317,石墨、材料、纳米、复合、性能,石墨、材料、纳米、复合、性能、分散、电极、溶液、金属、纤维,一种石墨烯面料纺织用经纱张力调节装置；一种三维结构的纳米石墨烯及其制备方法、净化空气型无机涂料及其制备方法；一种镍掺杂二硫化钼/石墨烯三维复合材料的制备方法及应用
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",15,底座 / 上端 / 支撑杆,215,0.0218,底座、上端、支撑杆、上方、治具,底座、上端、支撑杆、上方、治具、立柱、位于、底端、高度、中心,一种脐带血干细胞储存系统及其储存方法；极片烘烤夹具；一种计算机使用的大数据运维装置
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",16,电池 / 模组 / 锂离子,164,0.0166,电池、模组、正极、锂离子、电芯,电池、模组、正极、锂离子、电芯、负极、壳体、材料、新能源、放电,域控制电池管理系统；微米级多孔硫酸亚铁钠/碳复合正极材料及其制备的钠离子电池或钠电池；光伏电池生产线的自动送料放料系统
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",17,联网 / 终端 / 远程,456,0.0461,联网、终端、远程、网络、信号,联网、终端、远程、网络、信号、服务器、信息、网关、接收、传感器,一种房屋家具设计展示系统；一种用于超宽带系统中的陶瓷芯片天线；一种基于物联网与云计算的鹅智能化精细饲喂系统及管控方法
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",18,打印机 / 材料 / 粉末,182,0.0184,打印机、材料、喷头、粉末、光固化,打印机、材料、喷头、粉末、光固化、树脂、三维、制造、金属、零件,一种刮刀防撞机构；一种3D导航定位牙套及制作方法；一种远程数字3D打印装置
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",19,模具 / 成型装置 / 产品,292,0.0296,模具、成型装置、冲压、产品、工艺,模具、成型装置、冲压、产品、工艺、下模、注塑、效率、制造、快速,一种用于生产带孔木底托的工装模具；一种机械制造用冲压车床；一种复合网版的制作方法
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",20,滑块 / 螺纹 / 滑槽,357,0.0361,滑块、滑动连接、螺纹、滑槽、滑轨,滑块、滑动连接、螺纹、滑槽、滑轨、电动、转动连接、工作台、对称、导向,一种涂料生产用除尘设备；爆米花膨化后加工用的分装平台；一种便捷式轻质脱硫抹灰石膏加工用氧化装置
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",21,箱体 / 体内 / 内壁,221,0.0224,箱体、散热、体内、内壁、隔板,箱体、散热、体内、内壁、隔板、食品、内腔、风扇、清理、开口,一种饲料生产用冷却装置；一种工业锅炉利用余热排渣装置；一种便于远程抄表的智能电表箱
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",22,机器人 / 关节 / 工业互联网,208,0.0211,机器人、运动、关节、工业互联网、工件,机器人、运动、关节、工业互联网、工件、自由度、抓取、基于工业、自动化、路径,一种机器人换电装置；一种基于动态权限集的安卓特权提升攻击发现方法；人机客服的切换方法、装置、设备及存储介质
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",23,装置主体 / 所述主体 / 主体内部,282,0.0285,装置主体、所述主体、包括主体、散热、主体内部,装置主体、所述主体、包括主体、散热、主体内部、底端、主体包括、设备主体、外侧、内侧,一种起重机安装维修安全平台；一种基于物联网高压开关柜；一种脉冲点火器的装配机构
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",24,支架 / 角度 / 水平,321,0.0325,支架、角度、调整、水平、上端,支架、角度、调整、水平、上端、液压、延伸、下方、翻转、上方,一种滤清器冲压片上料定位装置；一种适合风沙地域防风固沙的光伏防风障；一种灵活检测汽车滤清器性能测试装置
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",25,水资源 / 水箱 / 水泵,546,0.0553,水资源、水箱、清洗装置、水泵、喷头,水资源、水箱、清洗装置、水泵、喷头、水管、管道、污水、过滤网、浪费,一种废水循环利用的自动洗车装置；一种基于开放空间大气污染治理装置；一种生物实验用试管的初步清洗装置
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",26,图像 / 视觉 / 机器,263,0.0266,图像、视觉、机器、区域、人工智能,图像、视觉、机器、区域、人工智能、特征、摄像头、提取、相机、缺陷,一种水电站高压输电线路驱鸟保护装置；一种棉花打顶无人机的智能控制系统及方法；双硅片加工系统
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",27,车辆 / 交通 / 智能机器人,417,0.0422,智能制造、车辆、基于智能、交通、智能机器人,智能制造、车辆、基于智能、交通、智能机器人、所述智能、合约、智能终端、涉及智能、控制系统,基于物联网的太阳能LED交通信号灯及其智能联动系统；一种基于智能仿真的牵引站运维管理系统；一种基于智能匹配的漏洞威胁发现方法及系统
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",28,混凝土 / 作业 / 方向,731,0.074,操作平台、混凝土、作业、方向、施工平台,操作平台、混凝土、作业、方向、施工平台、轨道、框架、水平、工装、简单,一种制动主缸皮碗的自动装配装置；一种用于施工现场的便携式施工平台；多接头线束电测试设备
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",29,装置本体 / 效果 / 本体内部,352,0.0356,散热、装置本体、本体进行、本体包括、设备本体,散热、装置本体、本体进行、本体包括、设备本体、效果、本体内部、平台本体、保护、侧壁,一种膜纸自动化印刷技术生产线结构；一种带有防尘接口结构的光伏并网逆变器；多段锯骨机
Sentence-BERT + CETopic,"T=10, dim=5, method=tfidf_idfi",0,食品 / 农药 / 农业,978,0.099,食品、农药、农业、电机,食品、农药、农业、电机,一种水电站高压输电线路驱鸟保护装置；一种废水循环利用的自动洗车装置；一种多功能食品检测装置
Sentence-BERT + CETopic,"T=10, dim=5, method=tfidf_idfi",1,天线 / 基站 / 网络,176,0.0178,天线、基站、网络、信号、终端,天线、基站、网络、信号、终端、频段、核心网、滤波器、巡检,一种信息通信5G转换设备；一种交直流屏自诊断方法；5G专网投诉的识别方法、装置、设备、系统及存储介质
Sentence-BERT + CETopic,"T=10, dim=5, method=tfidf_idfi",2,联网 / 数据 / 传感器,1500,0.1518,联网、数据、传感器、无人机,联网、数据、传感器、无人机,基于人工智能的流体输送系统精确计量方法及计量装置；电子厂房电源保障系统实施方法；一种基于无人机信息终端的可视化数字孪生高端装备系统
Sentence-BERT + CETopic,"T=10, dim=5, method=tfidf_idfi",3,电机 / 底座 / 模具,2114,0.2139,电机、底座、模具、支架、限位,电机、底座、模具、支架、限位,一种用于生产带孔木底托的工装模具；一种机械制造用冲压车床；一种胶带生产用胶带粘度测试装置
Sentence-BERT + CETopic,"T=10, dim=5, method=tfidf_idfi",4,光伏 / 电池 / 新能源,1128,0.1142,光伏、电池、新能源、太阳能,光伏、电池、新能源、太阳能,一种胶膜平整机构及光伏组件生产线；基于物联网的太阳能LED交通信号灯及其智能联动系统；一种带有防尘接口结构的光伏并网逆变器
Sentence-BERT + CETopic,"T=10, dim=5, method=tfidf_idfi",5,石墨 / 材料 / 干细胞,855,0.0865,石墨、材料、干细胞、纳米、蛋白,石墨、材料、干细胞、纳米、蛋白、基因、复合,一种促进围绝经期女性补钙的中药组方；一种防止土地盐碱化的肥料及其制备方法；一种脐带血干细胞储存系统及其储存方法
Sentence-BERT + CETopic,"T=10, dim=5, method=tfidf_idfi",6,机器人 / 关节,158,0.016,机器人、关节,机器人、关节,一种机器人换电装置；一种智能遛狗机器人；一种内镜手术器械输送装置、控制方法及机器人系统
Sentence-BERT + CETopic,"T=10, dim=5, method=tfidf_idfi",7,打印机 / 光固化 / 线材,196,0.0198,打印机、印刷、光固化、喷头、线材,打印机、印刷、光固化、喷头、线材,一种膜纸自动化印刷技术生产线结构；一种刮刀防撞机构；一种3D导航定位牙套及制作方法
Sentence-BERT + CETopic,"T=10, dim=5, method=tfidf_idfi",8,数据 / 区块 / 存储介质,1714,0.1735,数据、区块、存储介质、目标、用户,数据、区块、存储介质、目标、用户、模型、联网,基于区块链的充电权分配方法以及充电权交易方法；带私有协议的数据处理取证的方法及装置；一种云会员信息管理系统、方法和存储平台
Sentence-BERT + CETopic,"T=10, dim=5, method=tfidf_idfi",9,石墨 / 玻璃 / 蒸汽,1062,0.1075,石墨、玻璃、蒸汽、换热器、管道,石墨、玻璃、蒸汽、换热器、管道、电机,一种玻璃胶生产用高速分散装置；一种基于开放空间大气污染治理装置；一种带自发电的输液管气泡检测装置
Sentence-BERT + CETopic,"T=10, dim=2, method=tfidf_idfi",0,模具 / 玻璃 / 电机,1019,0.1031,模具、玻璃、打磨、电机、限位,模具、玻璃、打磨、电机、限位、机架,一种机械制造用冲压车床；一种胶带生产用胶带粘度测试装置；一种玻璃胶生产用高速分散装置
Sentence-BERT + CETopic,"T=10, dim=2, method=tfidf_idfi",1,数据 / 区块 / 存储介质,1689,0.1709,数据、区块、存储介质、目标、业务,数据、区块、存储介质、目标、业务、用户、模型、联网、文本,基于区块链的充电权分配方法以及充电权交易方法；带私有协议的数据处理取证的方法及装置；一种云会员信息管理系统、方法和存储平台
Sentence-BERT + CETopic,"T=10, dim=2, method=tfidf_idfi",2,数据 / 联网 / 光伏,657,0.0665,数据、联网、光伏、模型,数据、联网、光伏、模型,基于人工智能的流体输送系统精确计量方法及计量装置；电子厂房电源保障系统实施方法；水面光伏发电系统电气性能及环境场的监测装置
Sentence-BERT + CETopic,"T=10, dim=2, method=tfidf_idfi",3,石墨 / 食品 / 材料,1076,0.1089,石墨、食品、材料、纳米、干细胞,石墨、食品、材料、纳米、干细胞、蛋白、基因,一种促进围绝经期女性补钙的中药组方；一种防止土地盐碱化的肥料及其制备方法；一种脐带血干细胞储存系统及其储存方法
Sentence-BERT + CETopic,"T=10, dim=2, method=tfidf_idfi",4,光伏 / 电池 / 太阳能,1086,0.1099,光伏、电池、太阳能、新能源、汽车,光伏、电池、太阳能、新能源、汽车,一种胶膜平整机构及光伏组件生产线；基于物联网的太阳能LED交通信号灯及其智能联动系统；一种带有防尘接口结构的光伏并网逆变器
Sentence-BERT + CETopic,"T=10, dim=2, method=tfidf_idfi",5,机器人 / 天线 / 基站,339,0.0343,机器人、天线、基站,机器人、天线、基站,一种机器人换电装置；一种信息通信5G转换设备；一种交直流屏自诊断方法
Sentence-BERT + CETopic,"T=10, dim=2, method=tfidf_idfi",6,蒸汽 / 石墨 / 水箱,1397,0.1414,蒸汽、石墨、水箱,蒸汽、石墨、水箱,一种水电站高压输电线路驱鸟保护装置；一种废水循环利用的自动洗车装置；一种基于开放空间大气污染治理装置
Sentence-BERT + CETopic,"T=10, dim=2, method=tfidf_idfi",7,打印机 / 水泥 / 光固化,214,0.0217,打印机、水泥、光固化、印刷、耗材,打印机、水泥、光固化、印刷、耗材,一种膜纸自动化印刷技术生产线结构；一种刮刀防撞机构；一种3D导航定位牙套及制作方法
Sentence-BERT + CETopic,"T=10, dim=2, method=tfidf_idfi",8,电机 / 底座 / 支架,1381,0.1398,电机、底座、支架、汽车、轮毂,电机、底座、支架、汽车、轮毂、施工平台,一种用于生产带孔木底托的工装模具；一种自动翻转脱模装置；一种用于施工现场的便携式施工平台
Sentence-BERT + CETopic,"T=10, dim=2, method=tfidf_idfi",9,联网 / 无人机 / 传感器,1023,0.1035,联网、无人机、传感器、激光、检测装置,联网、无人机、传感器、激光、检测装置、数据,一种基于无人机信息终端的可视化数字孪生高端装备系统；一种房屋家具设计展示系统；多接头线束电测试设备
Sentence-BERT + CETopic,"T=10, dim=-1, method=tfidf_idfi",0,机器人 / 无人机,674,0.0682,机器人、无人机,机器人、无人机,一种基于无人机信息终端的可视化数字孪生高端装备系统；一种自动翻转脱模装置；一种基于智能仿真的牵引站运维管理系统
Sentence-BERT + CETopic,"T=10, dim=-1, method=tfidf_idfi",1,食品 / 电机 / 机架,1330,0.1346,食品、电机、机架、模具,食品、电机、机架、模具,一种胶带生产用胶带粘度测试装置；一种玻璃胶生产用高速分散装置；一种制动主缸皮碗的自动装配装置
Sentence-BERT + CETopic,"T=10, dim=-1, method=tfidf_idfi",2,水箱 / 蒸汽 / 环保,1119,0.1132,水箱、蒸汽、环保、节能、废水,水箱、蒸汽、环保、节能、废水、水资源,一种废水循环利用的自动洗车装置；一种脐带血干细胞储存系统及其储存方法；一种基于开放空间大气污染治理装置
Sentence-BERT + CETopic,"T=10, dim=-1, method=tfidf_idfi",3,联网 / 信号 / 数据,1009,0.1021,联网、信号、数据、天线,联网、信号、数据、天线,一种水电站高压输电线路驱鸟保护装置；基于物联网的太阳能LED交通信号灯及其智能联动系统；多接头线束电测试设备
Sentence-BERT + CETopic,"T=10, dim=-1, method=tfidf_idfi",4,石墨 / 材料 / 纳米,882,0.0893,石墨、材料、纳米、蛋白、复合,石墨、材料、纳米、蛋白、复合、活性,一种促进围绝经期女性补钙的中药组方；一种防止土地盐碱化的肥料及其制备方法；一种可用于新能源汽车的润滑脂组合物及其制备方法
Sentence-BERT + CETopic,"T=10, dim=-1, method=tfidf_idfi",5,光伏 / 电池 / 新能源,1071,0.1084,光伏、电池、新能源、太阳能,光伏、电池、新能源、太阳能,电子厂房电源保障系统实施方法；水面光伏发电系统电气性能及环境场的监测装置；一种带有防尘接口结构的光伏并网逆变器
Sentence-BERT + CETopic,"T=10, dim=-1, method=tfidf_idfi",6,打印机 / 光固化 / 树脂,208,0.0211,打印机、印刷、光固化、树脂,打印机、印刷、光固化、树脂,一种膜纸自动化印刷技术生产线结构；一种刮刀防撞机构；一种3D导航定位牙套及制作方法
Sentence-BERT + CETopic,"T=10, dim=-1, method=tfidf_idfi",7,支架 / 底座 / 光伏,1530,0.1548,支架、底座、光伏、限位、螺纹,支架、底座、光伏、限位、螺纹、底板、施工平台,一种胶膜平整机构及光伏组件生产线；一种用于生产带孔木底托的工装模具；一种机械制造用冲压车床
Sentence-BERT + CETopic,"T=10, dim=-1, method=tfidf_idfi",8,数据 / 模型 / 存储介质,1207,0.1222,数据、模型、存储介质、目标、文本,数据、模型、存储介质、目标、文本、图像、用户、人工智能,基于人工智能的流体输送系统精确计量方法及计量装置；一种图书荐购方法、装置、设备及存储介质；一种多功能食品检测装置
Sentence-BERT + CETopic,"T=10, dim=-1, method=tfidf_idfi",9,区块 / 数据 / 联网,851,0.0861,区块、数据、联网、交易、业务,区块、数据、联网、交易、业务、加密、节点,基于区块链的充电权分配方法以及充电权交易方法；带私有协议的数据处理取证的方法及装置；一种云会员信息管理系统、方法和存储平台
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",0,汽车 / 新能源 / 轮毂,858,0.0868,汽车、新能源、轮毂、电缆、电机,汽车、新能源、轮毂、电缆、电机、轨道,一种自动翻转脱模装置；一种用于吸塑机的自动捡片装置；一种适用于电解槽大修的滑移式安全护栏
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",1,数据 / 联网 / 车辆,674,0.0682,数据、联网、车辆、预警,数据、联网、车辆、预警,一种基于无人机信息终端的可视化数字孪生高端装备系统；一种基于智能仿真的牵引站运维管理系统；一种工业互联网平台应用评价方法及其评价系统
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",2,石墨 / 材料 / 纳米,508,0.0514,石墨、材料、纳米、催化剂、聚合物,石墨、材料、纳米、催化剂、聚合物,一种可用于新能源汽车的润滑脂组合物及其制备方法；一种复合网版的制作方法；微米级多孔硫酸亚铁钠/碳复合正极材料及其制备的钠离子电池或钠电池
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",3,数据 / 文本 / 存储介质,707,0.0716,数据、文本、存储介质、目标、模型,数据、文本、存储介质、目标、模型、图像、用户、推荐、语音,一种图书荐购方法、装置、设备及存储介质；一种用于研究者发起的临床研究全数据平台综合评价系统；模型训练方法、数据处理方法、装置、电子设备及介质
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",4,食品 / 农药 / 加工机,418,0.0423,食品、农药、加工机、饲料、大米,食品、农药、加工机、饲料、大米、电机、原料,一种多功能食品检测装置；一种偶氮颜料连续化合成微混合器及其连续化制备方法；一种结构稳定的和面机
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",5,激光 / 传感器 / 城市轨道交通,593,0.06,激光、检测装置、传感器、试验、城市轨道交通,激光、检测装置、传感器、试验、城市轨道交通,水面光伏发电系统电气性能及环境场的监测装置；多接头线束电测试设备；一种望远镜镜筒智能制造装置
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",6,电池 / 新能源 / 汽车,386,0.0391,电池、新能源、汽车,电池、新能源、汽车,域控制电池管理系统；一种具有节能保温功能的电解铝用电解槽；光伏电池生产线的自动送料放料系统
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",7,废水处理 / 污水处理 / 除尘,764,0.0773,废水处理、污水处理、除尘、垃圾,废水处理、污水处理、除尘、垃圾,一种废水循环利用的自动洗车装置；一种基于开放空间大气污染治理装置；一种滤清器冲压片上料定位装置
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",8,打印机 / 光固化 / 线材,196,0.0198,打印机、印刷、光固化、线材、耗材,打印机、印刷、光固化、线材、耗材,一种膜纸自动化印刷技术生产线结构；一种刮刀防撞机构；一种3D导航定位牙套及制作方法
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",9,机器人 / 关节,158,0.016,机器人、关节,机器人、关节,一种机器人换电装置；一种智能遛狗机器人；一种内镜手术器械输送装置、控制方法及机器人系统
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",10,玻璃 / 模具 / 口罩,788,0.0797,玻璃、模具、包装、口罩、打磨,玻璃、模具、包装、口罩、打磨、服装、机架,一种胶带生产用胶带粘度测试装置；一种玻璃胶生产用高速分散装置；一种制动主缸皮碗的自动装配装置
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",11,干细胞 / 蛋白 / 基因,358,0.0362,干细胞、蛋白、基因、茶叶、及其应用,干细胞、蛋白、基因、茶叶、及其应用、充质,一种促进围绝经期女性补钙的中药组方；一种防止土地盐碱化的肥料及其制备方法；一种脐带血干细胞储存系统及其储存方法
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",12,天线 / 基站 / 网络,176,0.0178,天线、基站、网络、信号、频段,天线、基站、网络、信号、频段、终端、核心网、滤波器,一种信息通信5G转换设备；一种交直流屏自诊断方法；5G专网投诉的识别方法、装置、设备、系统及存储介质
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",13,联网 / 无人机 / 数据,512,0.0518,联网、无人机、数据、摄像头、显示屏,联网、无人机、数据、摄像头、显示屏、人工智能,一种房屋家具设计展示系统；一种基于物联网的自动包装系统；一种计算机使用的大数据运维装置
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",14,光伏 / 太阳能 / 路灯,460,0.0466,光伏、太阳能、路灯、边框、屋面,光伏、太阳能、路灯、边框、屋面、支架,一种胶膜平整机构及光伏组件生产线；基于物联网的太阳能LED交通信号灯及其智能联动系统；一种带有防尘接口结构的光伏并网逆变器
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",15,混凝土 / 模具 / 钢筋,786,0.0795,施工平台、混凝土、模具、钢筋、钢梁,施工平台、混凝土、模具、钢筋、钢梁、楼梯、冲压,一种用于生产带孔木底托的工装模具；一种机械制造用冲压车床；一种用于施工现场的便携式施工平台
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",16,蒸汽 / 石墨 / 换热器,447,0.0452,蒸汽、石墨、冷却装置、换热器、发热,蒸汽、石墨、冷却装置、换热器、发热、空调、热泵,一种带自发电的输液管气泡检测装置；一种陶瓷材料加工用热压烧结装置；MQ硅树脂生产用高效冷却装置
